Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2017,MI,Energy-Only Providers,373,"3,753,797","5,152,792",0,NA,"8,906,962"
2017,MT,Energy-Only Providers,11,"142,764","2,637,675",0,NA,"2,780,450"
2017,NH,Energy-Only Providers,"925,749","3,022,033","1,728,447",0,NA,"5,676,229"
2017,NJ,Energy-Only Providers,"4,318,890","25,589,217","5,640,188","306,645",NA,"35,854,940"
2017,NV,Energy-Only Providers,0,"2,459,471","1,395,646",0,NA,"3,855,117"
2017,NY,Energy-Only Providers,"8,584,371","50,081,344","14,856,197","2,434,647",NA,"75,956,559"
2017,OH,Energy-Only Providers,"22,241,198","36,279,428","42,879,399","36,154",NA,"101,436,179"
2017,OR,Energy-Only Providers,0,"909,759","1,575,348",0,NA,"2,485,107"
2017,PA,Energy-Only Providers,"18,006,558","33,204,026","45,538,375","754,716",NA,"97,503,675"
2017,RI,Energy-Only Providers,"360,474","2,477,308","582,399","27,552",NA,"3,447,733"
2017,VA,Energy-Only Providers,0,"181,720","401,310",0,NA,"583,030"
2017,WA,Energy-Only Providers,0,"42,870","2,266,092",0,NA,"2,308,962"
2017,US,Energy-Only Providers,"92,860,366","274,208,406","186,792,613","5,865,633",NA,"559,727,018"
2016,AK,Total Electric Industry,"2,006,392","2,731,499","1,385,311",0,NA,"6,123,202"
2016,AL,Total Electric Industry,"32,055,546","23,634,474","32,535,121",0,NA,"88,225,141"
2016,AR,Total Electric Industry,"17,784,233","12,177,633","16,226,147",425,NA,"46,188,438"
2016,AZ,Total Electric Industry,"33,690,783","29,564,157","14,975,656","7,232",NA,"78,237,828"
2016,CA,Total Electric Industry,"88,311,069","116,774,684","50,979,124","781,758",NA,"256,846,635"
2016,CO,Total Electric Industry,"18,833,722","20,800,136","15,103,434","64,745",NA,"54,802,037"
2016,CT,Total Electric Industry,"12,676,983","12,701,264","3,370,068","182,772",NA,"28,931,087"
2016,DC,Total Electric Industry,"2,501,892","8,368,479","192,454","331,178",NA,"11,394,003"
2016,DE,Total Electric Industry,"4,763,106","4,235,231","2,260,101",0,NA,"11,258,438"
2016,FL,Total Electric Industry,"123,320,547","95,547,214","16,758,825","95,236",NA,"235,721,822"
2016,GA,Total Electric Industry,"57,889,379","47,761,768","32,290,121","170,971",NA,"138,112,239"
2016,HI,Total Electric Industry,"2,611,727","3,111,282","3,722,380",0,NA,"9,445,389"
2016,IA,Total Electric Industry,"14,093,678","12,291,332","22,046,183",0,NA,"48,431,193"
2016,ID,Total Electric Industry,"8,172,022","6,279,129","8,611,810",0,NA,"23,062,961"
2016,IL,Total Electric Industry,"45,990,052","50,910,054","43,631,754","518,549",NA,"141,050,409"
2016,IN,Total Electric Industry,"33,025,955","24,228,779","46,429,174","20,913",NA,"103,704,821"
2016,KS,Total Electric Industry,"13,509,235","15,887,392","11,413,547",0,NA,"40,810,174"
2016,KY,Total Electric Industry,"26,338,437","19,981,122","28,234,016",0,NA,"74,553,575"
2016,LA,Total Electric Industry,"30,650,067","24,895,713","35,894,652","12,227",NA,"91,452,659"
2016,MA,Total Electric Industry,"19,692,896","25,933,809","7,507,380","341,803",NA,"53,475,888"
2016,MD,Total Electric Industry,"27,316,871","29,675,993","3,821,476","539,571",NA,"61,353,911"
2016,ME,Total Electric Industry,"4,585,825","3,986,488","2,876,638",0,NA,"11,448,951"
2016,MI,Total Electric Industry,"34,543,262","38,985,906","30,934,422","4,223",NA,"104,467,813"
2016,MN,Total Electric Industry,"21,803,791","23,501,739","21,216,798","24,164",NA,"66,546,492"
2016,MO,Total Electric Industry,"34,354,932","30,728,480","13,513,245","21,399",NA,"78,618,056"
2016,MS,Total Electric Industry,"18,458,928","14,522,538","16,068,698",0,NA,"49,050,164"
2016,MT,Total Electric Industry,"4,852,547","4,831,636","4,416,418",0,NA,"14,100,601"
2016,NC,Total Electric Industry,"58,456,809","48,604,221","27,336,887","6,402",NA,"134,404,319"
2016,ND,Total Electric Industry,"4,741,298","6,346,158","7,432,732",0,NA,"18,520,188"
2016,NE,Total Electric Industry,"9,738,351","9,306,827","11,154,176",0,NA,"30,199,354"
2016,NH,Total Electric Industry,"4,438,407","4,466,192","2,000,357",0,NA,"10,904,956"
2016,NJ,Total Electric Industry,"29,090,726","38,672,407","7,293,070","303,168",NA,"75,359,371"
2016,NM,Total Electric Industry,"6,642,511","8,805,876","7,591,160",0,NA,"23,039,547"
2016,NV,Total Electric Industry,"12,691,942","9,929,076","13,515,234","8,378",NA,"36,144,630"
2016,NY,Total Electric Industry,"50,831,287","76,506,968","17,709,218","2,755,565",NA,"147,803,038"
2016,OH,Total Electric Industry,"52,524,141","47,742,269","50,290,693","40,693",NA,"150,597,796"
2016,OK,Total Electric Industry,"22,789,715","20,695,703","18,031,136",0,NA,"61,516,554"
2016,OR,Total Electric Industry,"18,573,242","16,060,478","12,691,616","24,014",NA,"47,349,350"
2016,PA,Total Electric Industry,"53,877,130","43,535,432","47,127,932","787,189",NA,"145,327,683"
2016,RI,Total Electric Industry,"3,081,562","3,651,317","764,295","27,096",NA,"7,524,270"
2016,SC,Total Electric Industry,"30,615,596","22,274,962","26,686,992",0,NA,"79,577,550"
