"Year","State","Industry.Sector.Category","Sector","Electricity_Consumption"
2017,"AZ","Total Electric Industry","Residential","34,251,220"
2017,"CA","Total Electric Industry","Residential","90,123,505"
2017,"CO","Total Electric Industry","Residential","18,615,000"
2017,"CT","Total Electric Industry","Residential","12,379,520"
2017,"DC","Total Electric Industry","Residential","2,394,652"
2017,"DE","Total Electric Industry","Residential","4,662,598"
2017,"FL","Total Electric Industry","Residential","121,462,622"
2017,"GA","Total Electric Industry","Residential","54,771,449"
2017,"HI","Total Electric Industry","Residential","2,629,679"
2017,"IA","Total Electric Industry","Residential","13,721,869"
2017,"ID","Total Electric Industry","Residential","8,727,901"
2017,"IL","Total Electric Industry","Residential","43,717,391"
2017,"IN","Total Electric Industry","Residential","31,551,558"
2017,"KS","Total Electric Industry","Residential","13,013,422"
2017,"KY","Total Electric Industry","Residential","24,882,582"
2017,"LA","Total Electric Industry","Residential","29,531,960"
2017,"MA","Total Electric Industry","Residential","19,337,799"
2017,"MD","Total Electric Industry","Residential","26,084,176"
2017,"ME","Total Electric Industry","Residential","4,638,535"
2017,"MI","Total Electric Industry","Residential","32,977,374"
2017,"MN","Total Electric Industry","Residential","21,573,800"
2017,"MO","Total Electric Industry","Residential","33,051,080"
2017,"MS","Total Electric Industry","Residential","17,444,016"
2017,"MT","Total Electric Industry","Residential","5,224,588"
2017,"NC","Total Electric Industry","Residential","56,133,960"
2017,"ND","Total Electric Industry","Residential","4,848,305"
2017,"NE","Total Electric Industry","Residential","9,667,990"
2017,"NH","Total Electric Industry","Residential","4,441,497"
2017,"NJ","Total Electric Industry","Residential","27,761,879"
2017,"NM","Total Electric Industry","Residential","6,497,207"
2017,"NV","Total Electric Industry","Residential","12,936,791"
2017,"NY","Total Electric Industry","Residential","49,080,757"
2017,"OH","Total Electric Industry","Residential","49,795,540"
2017,"OK","Total Electric Industry","Residential","21,837,596"
2017,"OR","Total Electric Industry","Residential","20,065,930"
2017,"PA","Total Electric Industry","Residential","51,724,498"
2017,"RI","Total Electric Industry","Residential","3,028,267"
2017,"SC","Total Electric Industry","Residential","29,224,971"
2017,"SD","Total Electric Industry","Residential","4,652,890"
2017,"TN","Total Electric Industry","Residential","39,292,528"
2017,"TX","Total Electric Industry","Residential","144,242,131"
2017,"UT","Total Electric Industry","Residential","9,510,783"
2017,"VA","Total Electric Industry","Residential","43,982,440"
2017,"VT","Total Electric Industry","Residential","2,023,424"
2017,"WA","Total Electric Industry","Residential","37,282,901"
2017,"WI","Total Electric Industry","Residential","21,233,154"
2017,"WV","Total Electric Industry","Residential","10,573,463"
2017,"WY","Total Electric Industry","Residential","2,772,371"
2017,"US","Total Electric Industry","Residential","1,378,647,742"
2017,"AK","Full-Service Providers","Residential","2,060,349"
2017,"AL","Full-Service Providers","Residential","30,181,045"
2017,"AR","Full-Service Providers","Residential","17,026,779"
2017,"AZ","Full-Service Providers","Residential","34,251,220"
2017,"CA","Full-Service Providers","Residential","85,131,736"
2017,"CO","Full-Service Providers","Residential","18,615,000"
2017,"CT","Full-Service Providers","Residential","8,636,900"
2017,"DC","Full-Service Providers","Residential","1,809,321"
2017,"DE","Full-Service Providers","Residential","4,332,672"
2017,"FL","Full-Service Providers","Residential","121,462,622"
2017,"GA","Full-Service Providers","Residential","54,771,449"
2017,"HI","Full-Service Providers","Residential","2,629,679"
2017,"IA","Full-Service Providers","Residential","13,721,869"
2017,"ID","Full-Service Providers","Residential","8,727,901"
2017,"IL","Full-Service Providers","Residential","27,484,293"
2017,"IN","Full-Service Providers","Residential","31,551,558"
2017,"KS","Full-Service Providers","Residential","13,013,422"
2017,"KY","Full-Service Providers","Residential","24,882,582"
2017,"LA","Full-Service Providers","Residential","29,531,960"
2017,"MA","Full-Service Providers","Residential","12,585,586"
2017,"MD","Full-Service Providers","Residential","20,999,376"
2017,"ME","Full-Service Providers","Residential","3,935,550"
2017,"MI","Full-Service Providers","Residential","32,977,001"
2017,"MN","Full-Service Providers","Residential","21,573,800"
2017,"MO","Full-Service Providers","Residential","33,051,080"
2017,"MS","Full-Service Providers","Residential","17,444,016"
2017,"MT","Full-Service Providers","Residential","5,224,577"
2017,"NC","Full-Service Providers","Residential","56,133,960"
2017,"ND","Full-Service Providers","Residential","4,848,305"
2017,"NE","Full-Service Providers","Residential","9,667,990"
2017,"NH","Full-Service Providers","Residential","3,515,748"
2017,"NJ","Full-Service Providers","Residential","23,442,989"
2017,"NM","Full-Service Providers","Residential","6,497,207"
2017,"NV","Full-Service Providers","Residential","12,936,791"
2017,"NY","Full-Service Providers","Residential","40,496,386"
2017,"OH","Full-Service Providers","Residential","27,554,342"
2017,"OK","Full-Service Providers","Residential","21,837,596"
2017,"OR","Full-Service Providers","Residential","20,065,930"
2017,"PA","Full-Service Providers","Residential","33,717,940"
2017,"RI","Full-Service Providers","Residential","2,667,793"
2017,"SC","Full-Service Providers","Residential","29,224,971"
2017,"SD","Full-Service Providers","Residential","4,652,890"
2017,"TN","Full-Service Providers","Residential","39,292,528"
2017,"TX","Full-Service Providers","Residential","144,242,131"
2017,"UT","Full-Service Providers","Residential","9,510,783"
2017,"VA","Full-Service Providers","Residential","43,982,440"
2017,"VT","Full-Service Providers","Residential","2,023,424"
2017,"WA","Full-Service Providers","Residential","37,282,901"
2017,"WI","Full-Service Providers","Residential","21,233,154"
2017,"WV","Full-Service Providers","Residential","10,573,463"
2017,"WY","Full-Service Providers","Residential","2,772,371"
2017,"US","Full-Service Providers","Residential","1,285,787,376"
2017,"CA","Energy-Only Providers","Residential","4,991,769"
2017,"CT","Energy-Only Providers","Residential","3,742,620"
2017,"DC","Energy-Only Providers","Residential","585,331"
2017,"DE","Energy-Only Providers","Residential","329,926"
2017,"IL","Energy-Only Providers","Residential","16,233,098"
2017,"MA","Energy-Only Providers","Residential","6,752,213"
2017,"MD","Energy-Only Providers","Residential","5,084,800"
2017,"ME","Energy-Only Providers","Residential","702,985"
2017,"MI","Energy-Only Providers","Residential","373"
2017,"MT","Energy-Only Providers","Residential","11"
2017,"NH","Energy-Only Providers","Residential","925,749"
2017,"NJ","Energy-Only Providers","Residential","4,318,890"
2017,"NV","Energy-Only Providers","Residential","0"
2017,"NY","Energy-Only Providers","Residential","8,584,371"
2017,"OH","Energy-Only Providers","Residential","22,241,198"
2017,"OR","Energy-Only Providers","Residential","0"
2017,"PA","Energy-Only Providers","Residential","18,006,558"
2017,"RI","Energy-Only Providers","Residential","360,474"
2017,"VA","Energy-Only Providers","Residential","0"
2017,"WA","Energy-Only Providers","Residential","0"
2017,"US","Energy-Only Providers","Residential","92,860,366"
2016,"AK","Total Electric Industry","Residential","2,006,392"
2016,"AL","Total Electric Industry","Residential","32,055,546"
2016,"AR","Total Electric Industry","Residential","17,784,233"
2016,"AZ","Total Electric Industry","Residential","33,690,783"
2016,"CA","Total Electric Industry","Residential","88,311,069"
2016,"CO","Total Electric Industry","Residential","18,833,722"
2016,"CT","Total Electric Industry","Residential","12,676,983"
2016,"DC","Total Electric Industry","Residential","2,501,892"
2016,"DE","Total Electric Industry","Residential","4,763,106"
2016,"FL","Total Electric Industry","Residential","123,320,547"
2016,"GA","Total Electric Industry","Residential","57,889,379"
2016,"HI","Total Electric Industry","Residential","2,611,727"
2016,"IA","Total Electric Industry","Residential","14,093,678"
2016,"ID","Total Electric Industry","Residential","8,172,022"
2016,"IL","Total Electric Industry","Residential","45,990,052"
2016,"IN","Total Electric Industry","Residential","33,025,955"
2016,"KS","Total Electric Industry","Residential","13,509,235"
2016,"KY","Total Electric Industry","Residential","26,338,437"
2016,"LA","Total Electric Industry","Residential","30,650,067"
2016,"MA","Total Electric Industry","Residential","19,692,896"
2016,"MD","Total Electric Industry","Residential","27,316,871"
2016,"ME","Total Electric Industry","Residential","4,585,825"
2016,"MI","Total Electric Industry","Residential","34,543,262"
2016,"MN","Total Electric Industry","Residential","21,803,791"
2016,"MO","Total Electric Industry","Residential","34,354,932"
2016,"MS","Total Electric Industry","Residential","18,458,928"
2016,"MT","Total Electric Industry","Residential","4,852,547"
2016,"NC","Total Electric Industry","Residential","58,456,809"
2016,"ND","Total Electric Industry","Residential","4,741,298"
2016,"NE","Total Electric Industry","Residential","9,738,351"
2016,"NH","Total Electric Industry","Residential","4,438,407"
2016,"NJ","Total Electric Industry","Residential","29,090,726"
2016,"NM","Total Electric Industry","Residential","6,642,511"
2016,"NV","Total Electric Industry","Residential","12,691,942"
2016,"NY","Total Electric Industry","Residential","50,831,287"
2016,"OH","Total Electric Industry","Residential","52,524,141"
2016,"OK","Total Electric Industry","Residential","22,789,715"
2016,"OR","Total Electric Industry","Residential","18,573,242"
2016,"PA","Total Electric Industry","Residential","53,877,130"
2016,"RI","Total Electric Industry","Residential","3,081,562"
2016,"SC","Total Electric Industry","Residential","30,615,596"
2016,"SD","Total Electric Industry","Residential","4,618,724"
2016,"TN","Total Electric Industry","Residential","41,773,888"
2016,"TX","Total Electric Industry","Residential","145,973,181"
2016,"UT","Total Electric Industry","Residential","9,370,656"
2016,"VA","Total Electric Industry","Residential","45,186,057"
2016,"VT","Total Electric Industry","Residential","2,056,402"
2016,"WA","Total Electric Industry","Residential","34,211,748"
2016,"WI","Total Electric Industry","Residential","21,814,249"
2016,"WV","Total Electric Industry","Residential","11,375,581"
2016,"WY","Total Electric Industry","Residential","2,751,073"
2016,"US","Total Electric Industry","Residential","1,411,058,153"
2016,"AK","Full-Service Providers","Residential","2,006,392"
2016,"AL","Full-Service Providers","Residential","32,055,546"
2016,"AR","Full-Service Providers","Residential","17,784,233"
2016,"AZ","Full-Service Providers","Residential","33,690,783"
2016,"CA","Full-Service Providers","Residential","86,220,494"
2016,"CO","Full-Service Providers","Residential","18,833,722"
2016,"CT","Full-Service Providers","Residential","8,503,656"
2016,"DC","Full-Service Providers","Residential","1,907,958"
2016,"DE","Full-Service Providers","Residential","4,430,196"
2016,"FL","Full-Service Providers","Residential","123,320,547"
2016,"GA","Full-Service Providers","Residential","57,889,379"
2016,"HI","Full-Service Providers","Residential","2,611,727"
2016,"IA","Full-Service Providers","Residential","14,093,678"
2016,"ID","Full-Service Providers","Residential","8,172,022"
2016,"IL","Full-Service Providers","Residential","27,105,283"
2016,"IN","Full-Service Providers","Residential","33,025,955"
2016,"KS","Full-Service Providers","Residential","13,509,235"
2016,"KY","Full-Service Providers","Residential","26,338,437"
2016,"LA","Full-Service Providers","Residential","30,650,067"
2016,"MA","Full-Service Providers","Residential","13,250,760"
2016,"MD","Full-Service Providers","Residential","21,887,824"
2016,"ME","Full-Service Providers","Residential","3,789,522"
2016,"MI","Full-Service Providers","Residential","34,542,844"
2016,"MN","Full-Service Providers","Residential","21,803,791"
2016,"MO","Full-Service Providers","Residential","34,354,932"
2016,"MS","Full-Service Providers","Residential","18,458,928"
2016,"MT","Full-Service Providers","Residential","4,852,537"
2016,"NC","Full-Service Providers","Residential","58,456,809"
2016,"ND","Full-Service Providers","Residential","4,741,298"
2016,"NE","Full-Service Providers","Residential","9,738,351"
2016,"NH","Full-Service Providers","Residential","3,637,031"
2016,"NJ","Full-Service Providers","Residential","24,985,251"
2016,"NM","Full-Service Providers","Residential","6,642,511"
2016,"NV","Full-Service Providers","Residential","12,691,942"
2016,"NY","Full-Service Providers","Residential","41,568,579"
2016,"OH","Full-Service Providers","Residential","29,737,702"
2016,"OK","Full-Service Providers","Residential","22,789,715"
2016,"OR","Full-Service Providers","Residential","18,573,242"
2016,"PA","Full-Service Providers","Residential","34,979,135"
2016,"RI","Full-Service Providers","Residential","2,734,247"
2016,"SC","Full-Service Providers","Residential","30,615,596"
2016,"SD","Full-Service Providers","Residential","4,618,724"
2016,"TN","Full-Service Providers","Residential","41,773,888"
2016,"TX","Full-Service Providers","Residential","145,973,181"
2016,"UT","Full-Service Providers","Residential","9,370,656"
2016,"VA","Full-Service Providers","Residential","45,186,057"
2016,"VT","Full-Service Providers","Residential","2,056,402"
2016,"WA","Full-Service Providers","Residential","34,211,748"
2016,"WI","Full-Service Providers","Residential","21,814,249"
2016,"WV","Full-Service Providers","Residential","11,375,581"
2016,"WY","Full-Service Providers","Residential","2,751,073"
2016,"US","Full-Service Providers","Residential","1,316,113,416"
2016,"CA","Energy-Only Providers","Residential","2,090,575"
2016,"CT","Energy-Only Providers","Residential","4,173,327"
2016,"DC","Energy-Only Providers","Residential","593,934"
2016,"DE","Energy-Only Providers","Residential","332,910"
2016,"IL","Energy-Only Providers","Residential","18,884,769"
2016,"MA","Energy-Only Providers","Residential","6,442,136"
2016,"MD","Energy-Only Providers","Residential","5,429,047"
2016,"ME","Energy-Only Providers","Residential","796,303"
2016,"MI","Energy-Only Providers","Residential","418"
2016,"MT","Energy-Only Providers","Residential","10"
2016,"NH","Energy-Only Providers","Residential","801,376"
2016,"NJ","Energy-Only Providers","Residential","4,105,475"
2016,"NV","Energy-Only Providers","Residential","0"
2016,"NY","Energy-Only Providers","Residential","9,262,708"
2016,"OH","Energy-Only Providers","Residential","22,786,439"
2016,"OR","Energy-Only Providers","Residential","0"
2016,"PA","Energy-Only Providers","Residential","18,897,995"
2016,"RI","Energy-Only Providers","Residential","347,315"
2016,"VA","Energy-Only Providers","Residential","0"
2016,"WA","Energy-Only Providers","Residential","0"
2016,"US","Energy-Only Providers","Residential","94,944,737"
2015,"AK","Total Electric Industry","Residential","2,044,184"
2015,"AL","Total Electric Industry","Residential","31,908,530"
2015,"AR","Total Electric Industry","Residential","18,273,389"
2015,"AZ","Total Electric Industry","Residential","33,167,205"
2015,"CA","Total Electric Industry","Residential","89,386,373"
2015,"CO","Total Electric Industry","Residential","18,384,936"
2015,"CT","Total Electric Industry","Residential","12,892,862"
2015,"DC","Total Electric Industry","Residential","2,497,559"
2015,"DE","Total Electric Industry","Residential","4,848,998"
2015,"FL","Total Electric Industry","Residential","122,759,472"
2015,"GA","Total Electric Industry","Residential","56,421,650"
2015,"HI","Total Electric Industry","Residential","2,641,336"
2015,"IA","Total Electric Industry","Residential","13,786,328"
2015,"ID","Total Electric Industry","Residential","8,054,693"
2015,"IL","Total Electric Industry","Residential","44,645,638"
2015,"IN","Total Electric Industry","Residential","32,441,693"
2015,"KS","Total Electric Industry","Residential","13,241,682"
2015,"KY","Total Electric Industry","Residential","26,168,093"
2015,"LA","Total Electric Industry","Residential","31,545,313"
2015,"MA","Total Electric Industry","Residential","20,175,317"
2015,"MD","Total Electric Industry","Residential","27,403,336"
2015,"ME","Total Electric Industry","Residential","4,662,301"
2015,"MI","Total Electric Industry","Residential","33,357,876"
2015,"MN","Total Electric Industry","Residential","21,713,970"
2015,"MO","Total Electric Industry","Residential","33,911,760"
2015,"MS","Total Electric Industry","Residential","18,561,101"
2015,"MT","Total Electric Industry","Residential","4,825,213"
2015,"NC","Total Electric Industry","Residential","57,901,557"
2015,"ND","Total Electric Industry","Residential","4,862,542"
2015,"NE","Total Electric Industry","Residential","9,532,132"
2015,"NH","Total Electric Industry","Residential","4,526,948"
2015,"NJ","Total Electric Industry","Residential","29,142,283"
2015,"NM","Total Electric Industry","Residential","6,641,724"
2015,"NV","Total Electric Industry","Residential","12,338,538"
2015,"NY","Total Electric Industry","Residential","51,012,745"
2015,"OH","Total Electric Industry","Residential","51,492,954"
2015,"OK","Total Electric Industry","Residential","22,615,824"
2015,"OR","Total Electric Industry","Residential","18,269,007"
2015,"PA","Total Electric Industry","Residential","54,418,663"
2015,"RI","Total Electric Industry","Residential","3,135,506"
2015,"SC","Total Electric Industry","Residential","30,059,188"
2015,"SD","Total Electric Industry","Residential","4,571,325"
2015,"TN","Total Electric Industry","Residential","41,667,411"
2015,"TX","Total Electric Industry","Residential","145,651,913"
2015,"UT","Total Electric Industry","Residential","9,117,153"
2015,"VA","Total Electric Industry","Residential","45,928,411"
2015,"VT","Total Electric Industry","Residential","2,088,940"
2015,"WA","Total Electric Industry","Residential","34,071,987"
2015,"WI","Total Electric Industry","Residential","21,214,787"
2015,"WV","Total Electric Industry","Residential","11,437,451"
2015,"WY","Total Electric Industry","Residential","2,676,702"
2015,"US","Total Electric Industry","Residential","1,404,096,499"
2015,"AK","Full-Service Providers","Residential","2,044,184"
2015,"AL","Full-Service Providers","Residential","31,908,530"
2015,"AR","Full-Service Providers","Residential","18,273,389"
2015,"AZ","Full-Service Providers","Residential","33,167,205"
2015,"CA","Full-Service Providers","Residential","87,605,282"
2015,"CO","Full-Service Providers","Residential","18,384,936"
2015,"CT","Full-Service Providers","Residential","8,364,427"
2015,"DC","Full-Service Providers","Residential","1,921,122"
2015,"DE","Full-Service Providers","Residential","4,506,411"
2015,"FL","Full-Service Providers","Residential","122,759,472"
2015,"GA","Full-Service Providers","Residential","56,421,650"
2015,"HI","Full-Service Providers","Residential","2,641,336"
2015,"IA","Full-Service Providers","Residential","13,786,328"
2015,"ID","Full-Service Providers","Residential","8,054,693"
2015,"IL","Full-Service Providers","Residential","23,198,272"
2015,"IN","Full-Service Providers","Residential","32,441,693"
2015,"KS","Full-Service Providers","Residential","13,241,682"
2015,"KY","Full-Service Providers","Residential","26,168,093"
2015,"LA","Full-Service Providers","Residential","31,545,313"
2015,"MA","Full-Service Providers","Residential","15,597,608"
2015,"MD","Full-Service Providers","Residential","21,554,710"
2015,"ME","Full-Service Providers","Residential","3,724,880"
2015,"MI","Full-Service Providers","Residential","33,357,369"
2015,"MN","Full-Service Providers","Residential","21,713,970"
2015,"MO","Full-Service Providers","Residential","33,911,760"
2015,"MS","Full-Service Providers","Residential","18,561,101"
2015,"MT","Full-Service Providers","Residential","4,825,207"
2015,"NC","Full-Service Providers","Residential","57,901,557"
2015,"ND","Full-Service Providers","Residential","4,862,542"
2015,"NE","Full-Service Providers","Residential","9,532,132"
2015,"NH","Full-Service Providers","Residential","3,741,907"
2015,"NJ","Full-Service Providers","Residential","25,284,840"
2015,"NM","Full-Service Providers","Residential","6,641,724"
2015,"NV","Full-Service Providers","Residential","12,338,538"
2015,"NY","Full-Service Providers","Residential","41,485,518"
2015,"OH","Full-Service Providers","Residential","29,116,452"
2015,"OK","Full-Service Providers","Residential","22,615,824"
2015,"OR","Full-Service Providers","Residential","18,269,007"
2015,"PA","Full-Service Providers","Residential","35,086,308"
2015,"RI","Full-Service Providers","Residential","2,875,841"
2015,"SC","Full-Service Providers","Residential","30,059,188"
2015,"SD","Full-Service Providers","Residential","4,571,325"
2015,"TN","Full-Service Providers","Residential","41,667,411"
2015,"TX","Full-Service Providers","Residential","145,651,913"
2015,"UT","Full-Service Providers","Residential","9,117,153"
2015,"VA","Full-Service Providers","Residential","45,928,411"
2015,"VT","Full-Service Providers","Residential","2,088,940"
2015,"WA","Full-Service Providers","Residential","34,071,987"
2015,"WI","Full-Service Providers","Residential","21,214,787"
2015,"WV","Full-Service Providers","Residential","11,437,451"
2015,"WY","Full-Service Providers","Residential","2,676,702"
2015,"US","Full-Service Providers","Residential","1,307,918,081"
2015,"CA","Energy-Only Providers","Residential","1,781,091"
2015,"CT","Energy-Only Providers","Residential","4,528,435"
2015,"DC","Energy-Only Providers","Residential","576,437"
2015,"DE","Energy-Only Providers","Residential","342,587"
2015,"IL","Energy-Only Providers","Residential","21,447,366"
2015,"MA","Energy-Only Providers","Residential","4,577,709"
2015,"MD","Energy-Only Providers","Residential","5,848,626"
2015,"ME","Energy-Only Providers","Residential","937,421"
2015,"MI","Energy-Only Providers","Residential","507"
2015,"MT","Energy-Only Providers","Residential","6"
2015,"NH","Energy-Only Providers","Residential","785,041"
2015,"NJ","Energy-Only Providers","Residential","3,857,443"
2015,"NV","Energy-Only Providers","Residential","0"
2015,"NY","Energy-Only Providers","Residential","9,527,227"
2015,"OH","Energy-Only Providers","Residential","22,376,502"
2015,"OR","Energy-Only Providers","Residential","0"
2015,"PA","Energy-Only Providers","Residential","19,332,355"
2015,"RI","Energy-Only Providers","Residential","259,665"
2015,"VA","Energy-Only Providers","Residential","0"
2015,"WA","Energy-Only Providers","Residential","0"
2015,"US","Energy-Only Providers","Residential","96,178,418"
2014,"AK","Total Electric Industry","Residential","2,043,614"
2014,"AL","Total Electric Industry","Residential","32,929,598"
2014,"AR","Total Electric Industry","Residential","18,441,119"
2014,"AZ","Total Electric Industry","Residential","32,346,079"
2014,"CA","Total Electric Industry","Residential","89,360,680"
2014,"CO","Total Electric Industry","Residential","18,092,932"
2014,"CT","Total Electric Industry","Residential","12,777,579"
2014,"DC","Total Electric Industry","Residential","2,072,205"
2014,"DE","Total Electric Industry","Residential","4,644,841"
2014,"FL","Total Electric Industry","Residential","116,535,263"
2014,"GA","Total Electric Industry","Residential","57,167,387"
2014,"HI","Total Electric Industry","Residential","2,583,770"
2014,"IA","Total Electric Industry","Residential","14,426,582"
2014,"ID","Total Electric Industry","Residential","8,134,913"
2014,"IL","Total Electric Industry","Residential","46,009,458"
2014,"IN","Total Electric Industry","Residential","33,703,965"
2014,"KS","Total Electric Industry","Residential","13,684,952"
